"No.","Date","Genre","Bibl","Hit"
"111","1997-12-11","Gesprochene Sprache","Das Literarische Quartett vom 11. Dezember 1997","__speaker__135 __speaker__135 Diese Art , den Vietnamkrieg mit einzubeziehen in die Handlung zwischen Nadan und der Ich-Erzählerin , finde ich fabelhaft ."
"112","1997-12-11","Gesprochene Sprache","Das Literarische Quartett vom 11. Dezember 1997","__speaker__137 Die haben eine Leichtigkeit , eine Eleganz , sie leben von dem Berliner Witz , sie leben von der Fähigkeit des Autors , sich über Menschen lustig zu machen , es gibt Porträts , die unverzichtbar sind , Porträts von Fontane beispielsweise , der sich durch den ganzen Band durchzieht - __speaker__135 . . Wir können schnell noch ein paar Namen nennen : Arthur Schnitzler , Adolph von Menzel - das sind auch Figuren , die er fabelhaft porträtiert hat ."
"113","1997-12-11","Gesprochene Sprache","Das Literarische Quartett vom 11. Dezember 1997","__speaker__135 Es sind hier vor allem in der ersten Erzählung ganz fabelhaft die Gespräche mit der nächsten Generation ."
"114","1997-10-10","Gesprochene Sprache","Das Literarische Quartett vom 10. Oktober 1997","__speaker__135 Das ist ein zweites Element , die sind beide fabelhaft miteinander verknotet und verbunden ."
"115","1997-10-10","Gesprochene Sprache","Das Literarische Quartett vom 10. Oktober 1997","__speaker__135 __speaker__135 Ich finde diese Literatur fabelhaft ."
"116","1997-10-10","Gesprochene Sprache","Das Literarische Quartett vom 10. Oktober 1997","__speaker__135 __speaker__135 Herr Karasek , das Beste , von dem , was Sie jetzt erzählt haben , ist dieser eine Satz , der ist fabelhaft ."
"117","1997-06-13","Gesprochene Sprache","Das Literarische Quartett vom 13. Juni 1997","__speaker__135 Er zeigt die Liebe in ihrer Ausschließlichkeit , in ihrer Unbedingtheit , gar nicht nur hier , genauso fabelhaft in dem etwas späteren Roman Die Liebe in den Zeiten der Cholera - auch ein Meisterwerk ."
"118","1997-06-13","Gesprochene Sprache","Das Literarische Quartett vom 13. Juni 1997","__speaker__135 Eine merkwürdige Sache : Meisterwerke der Epik sind in schwachen und schlechten Übersetzungen immer noch fabelhaft ."
"119","1997-06-13","Gesprochene Sprache","Das Literarische Quartett vom 13. Juni 1997","__speaker__135 Nur , und jetzt passiert das Außerordentliche : Ich sagte , bei guten Schriftstellern , ob sies wollen oder nicht , gleich entsteht der doppelte Boden , alles wird zum Gleichnis - das ist fabelhaft !"
"120","1997-04-25","Gesprochene Sprache","Das Literarische Quartett vom 25. April 1997","__speaker__135 Sie finden alles fabelhaft , großartig ."
"121","1997-04-25","Gesprochene Sprache","Das Literarische Quartett vom 25. April 1997","__speaker__135 Ob Sie heute noch ein Buch ablehnen werden , weiß ich nicht , alles finden Sie fabelhaft ."
