"No.","Date","Genre","Bibl","Hit"
"138","1991-10-14","Gesprochene Sprache","o.A., ""Fußball ist kein Theater"", in: Der Spiegel 14.10.1991, S. 256, 258 u. 260","__speaker__451 Sie könnten noch so wunderbar spielen , würden aber ständig verlieren , weil sie alle nach vorn rennen und so hinten die Räume aufmachen ."
"139","1991-05-06","Gesprochene Sprache","Das Literarische Quartett vom 6. Mai 1991","__speaker__136 Dass diese Frau überfordert und konfus ist und versucht , alles irgendwie unter einen Hut zu bringen , das wird in den ersten dreißig Seiten dieser Novelle wirklich wunderbar dargestellt ."
"140","1991-05-06","Gesprochene Sprache","Das Literarische Quartett vom 6. Mai 1991","__speaker__135 Da sind Hunderte solcher Formulierungen , wo er vor allem die Sphäre der Emigranten , aber auch der amerikanischen Schriftsteller wunderbar darstellt ."
"141","1991-02-18","Gesprochene Sprache","Das Literarische Quartett vom 18. Februar 1991","__speaker__189 Denn sie nimmt auch die fürchterliche Untreue ihres Mannes - es wird überhaupt nicht darüber geredet - still und leidend hin und bleibt so edel und wunderbar , wie sie von Anfang an ist ."
"142","1990-10-01","Gesprochene Sprache","Das Literarische Quartett vom 1. Oktober 1990","__speaker__137 __speaker__137 Er nimmt es genau , und dann verachtet man doch jemanden nicht , wenn einem jemand was baut , sei es einen Sarg , sei es , dass er ihm die Schuhe putzt , sonst etwas , dass er einen Blumenstrauß - und man sagt : Das kann der aber wunderbar ."
"143","1990-10-01","Gesprochene Sprache","Das Literarische Quartett vom 1. Oktober 1990","__speaker__136 Er lässt sich wunderbar auch als solcher fotografieren ."
"144","1990-05-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Mai 1990","__speaker__137 Ich wiederhole noch mal : Erst mit dem Wegfallen der Zwecke sagen wir auf einmal : » Wie schön , wie wunderbar !"
"145","1990-05-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Mai 1990","__speaker__137 Es sind insofern auch wunderbare literarische Dokumente , ich finde dieses kaltschnäuzige » und so weiter und so weiter « geradezu wunderbar ."
"146","1990-05-14","Gesprochene Sprache","Das Literarische Quartett vom 14. Mai 1990","__speaker__136 __speaker__136 Dieses Werk ist doch eigentlich nur eine sexuelle Topographie , __speaker__137 Ist doch wunderbar ."
"147","1989-10-02","Gesprochene Sprache","Interview IS037A, Projekt ""Emigrantendeutsch in Israel"" von Anne Betten, Germanistik Univ. Salzburg, Jerusalem, 1989","__speaker__674 Er hat , Dekorateur ist ein besonderes Fach gewesen , Schaufenster zu dekorieren , und und das hat er wunderbar verstanden ."
"148","1989-10-02","Gesprochene Sprache","Interview IS037A, Projekt ""Emigrantendeutsch in Israel"" von Anne Betten, Germanistik Univ. Salzburg, Jerusalem, 1989","__speaker__674 Ohne Schläge , ohne Schreien , sie hat wunderbar verstanden , die leu/ die Kinder zu fassen an ihrer Ehre , verstehen Sie ?"
"149","1989-10-02","Gesprochene Sprache","Interview IS037A, Projekt ""Emigrantendeutsch in Israel"" von Anne Betten, Germanistik Univ. Salzburg, Jerusalem, 1989","__speaker__674 Erstens haben wir Düngemittel von den Hühnern gehabt , der Hühnerdünger war wunderbar ."
"150","1989-10-02","Gesprochene Sprache","Interview IS037A, Projekt ""Emigrantendeutsch in Israel"" von Anne Betten, Germanistik Univ. Salzburg, Jerusalem, 1989","__speaker__674 Und ich hab für viele Leute gekocht , es hat allen wunderbar geschmeckt ."
"151","1989-03-10","Gesprochene Sprache","Das Literarische Quartett vom 10. März 1989","__speaker__135 Bei Burger eine höchst durchdachte , gar nicht manische Sprache , wunderbar gebaute Sätze ."
"152","1989-03-06","Gesprochene Sprache","o.A., ""Alles total unprofessionell"", in: Der Spiegel 06.03.1989, S. 227, 229, 232 u. 227","__speaker__503 Die Stücke sind wunderbar , das Orchester ist wunderbar , die Chöre sind wunderbar ."
"153","1989-03-06","Gesprochene Sprache","o.A., ""Alles total unprofessionell"", in: Der Spiegel 06.03.1989, S. 227, 229, 232 u. 227","__speaker__503 Die Stücke sind wunderbar , das Orchester ist wunderbar , die Chöre sind wunderbar ."
"154","1989-03-06","Gesprochene Sprache","o.A., ""Alles total unprofessionell"", in: Der Spiegel 06.03.1989, S. 227, 229, 232 u. 227","__speaker__503 Die Stücke sind wunderbar , das Orchester ist wunderbar , die Chöre sind wunderbar ."
"155","1988-09-30","Gesprochene Sprache","Das Literarische Quartett vom 30. September 1988","__speaker__137 Und es ist eine wunderbar eingelegte Geschichte einer Achtundsechzigerin , die diese Triole kaputtmacht , welche sie sich erträumt hat ."
"156","1988-09-30","Gesprochene Sprache","Das Literarische Quartett vom 30. September 1988","__speaker__138 Das ist wieder mal wunderbar beobachtet ."
"157","1988-06-03","Gesprochene Sprache","Das Literarische Quartett vom 3. Juni 1988","__speaker__137 Die Inszenierungen sind wirklich wunderbar , warum kann man das nicht mal in einem Interview sagen ?"
"158","1988-06-03","Gesprochene Sprache","Das Literarische Quartett vom 3. Juni 1988","__speaker__137 Und darauf hat der André Müller gesagt : » Aber andere wie Tabori benehmen sich doch wunderbar ."
"159","1988-03-25","Gesprochene Sprache","Das Literarische Quartett vom 25. März 1988","__speaker__135 __speaker__135 Bei Goethe bin ich bereit , 56 oder 76 herrliche Gedichte zu finden , und bei Heine 16 oder 26. Das mit den sechsen stimmt nicht , auch bei Benn würde ich noch acht bis neun Gedichte wunderbar finden ."
"160","1988-03-07","Gesprochene Sprache","o.A., ""Der Faun und sein Wunschtraum"", in: Der Spiegel 07.03.1988, S. 216, 218, 220 u. 222","__speaker__433 Jemand , der mit einer Nudel im Mundwinkel eine Liebeserklärung macht , der ist wunderbar komisch für fünf Minuten , aber was macht er den restlichen Abend ?"
"161","1968-12-31","Gesprochene Sprache","Runge, Erika (Hg.), Bottroper Protokolle, Frankfurt  a.M.: Suhrkamp 1968","__speaker__0 Zum Beispiel erinnere ich mich immer an eins : da gab es diese Signalballons in verschiedensten Farben , ich weiß nich , wozu die eigentlich gedient ham , aber nannten sich Signalballons in den verschiedensten Farben , und da konnten wir wunderbar Fußball mit spieln , nech ."
"162","1968-12-31","Gesprochene Sprache","Runge, Erika (Hg.), Bottroper Protokolle, Frankfurt  a.M.: Suhrkamp 1968","__speaker__0 Und der Ball , der kam immer so wunderbar langsam runter ."
"163","1942-01-04","Gesprochene Sprache","o.A., Feierstunde in Posen zur Eröffnung des Osteinsatzes und des Landdienstes der Jugend, 04.01.1942","__speaker__207 Es ist ja wunderbar , dass die heutige Jugend sich nicht mehr an Heldengestalten der Vergangenheit allein zu entzünden braucht , sondern dass heute diese Helden mitten unter uns leben und dass sie uns das Beispiel geben ."
"164","1940-10-05","Gesprochene Sprache","o.A., Kundgebung in Warschau anlässlich der Eröffnung des Kriegswinterhilfswerks 1940/41 im Generalgouvernement, 05.10.1940","[...]__speaker__220Wenneinandererkämeundwürdesagen,nein,dieKronewarwunderbarundwirmüssenunsere34oder48Monarchenwiederhaben,dasswirglücklichwerden,undwennderanderesagenwürde,nein,dasSchönstewardieBörse,dahatmanGeldverdienenkönnen,dasmusswiederher;dawürdedasdeutscheVolksagen:SchertEuchzumDeibel,wirhabenEuch20Jahrenungehabtundwirwerdenniemehrdulden,dassdieVolksgemeinschaftdadurchzerrissenwird,dassmanausmonarchischen,kapitalistischenoderkonfessionellenGründenunswiederzuzerfetzentrachtet(Beifall)DieseErziehungsarbeithatdieParteinungeleistet. [...]"
"165","1940-10-05","Gesprochene Sprache","o.A., Kundgebung in Warschau anlässlich der Eröffnung des Kriegswinterhilfswerks 1940/41 im Generalgouvernement, 05.10.1940","__speaker__277 Und so wollen wir in das Kriegswinterhilfswerk hineingehen aus tiefster Dankbarkeit zu dem Manne , der die Geschicke unsere Volkes so wunderbar lenkt ."
"166","1939-10-27","Gesprochene Sprache","o.A., Ansprache vor Betriebsangehörigen in Polen, 27.10.1939","__speaker__306 Das Volk ist in seiner Haltung so wunderbar ."
"167","1939-10-06","Gesprochene Sprache","Hitler, Adolf, ... auf daß Europa ein neues Glück des Friedens zuteil wird!, in: in: Philipp Bouhler (Hg.), Der großdeutsche Freiheitskampf - Band 1, München 1941 [1939], S. 67-100","__speaker__284 Als Führer des deutschen Volkes und als Kanzler des Reiches kann ich in diesem Augenblick dem Herrgott nur danken , daß er uns in dem ersten schweren Kampf um unser Recht so wunderbar gesegnet hat , und ihn bitten , daß er uns und alle anderen den richtigen Weg finden läßt , auf daß nicht nur dem deutschen Volk , sondern ganz Europa ein neues Glück des Friedens zuteil wird !"
"168","1936-10-25","Gesprochene Sprache","o.A., Eröffnung der ""Woche des Deutschen Buches"" in der Weimarhalle in Weimar, 25.10.1936","__speaker__273 Ich sage diesen Vergreisten , ewig Vorgestrigen : wir kommen ohne Euch wunderbar aus !"
"169","1936-07-30","Gesprochene Sprache","o.A., Olympische Sommerspiele in Berlin: Reportage vom Training im Schwimmstadion und vom Rudern, 30.07.1936","__speaker__200 Es ist wunderbar , was diese kleinen Japaner leisten können und wir sehen sie da oben gerade mit mehr als vierzig Schlägen über die 500 m gehen ."
"170","1933-05-20","Gesprochene Sprache","o.A., Einsetzung des Gauleiters Karl Kaufmann als Reichsstatthalter von Hamburg sowie Vereidigung des neuen Hamburger Senats, 20.05.1933","__speaker__236 Und die Zeit , die vor uns ist , Parteigenossen und Hamburger , die wollen wir so mit Arbeit , mit Pflicht und mit Opfer ausfüllen , was unser ermordeter Sänger Horst Wessel so wunderbar in seinem Liede zum Ausdruck gebracht hat , dass das Blut der gefallenen Kameraden nicht umsonst geflossen sein möge ."
"171","1933-04-16","Gesprochene Sprache","o.A., Germanische Osterfeier von den ""Sieben Steinhäusern"" bei Fallingbostel, 16.04.1933","[...]__speaker__194Heil-Rufe)__speaker__259DiesistdergroßeWille,Volksgenossen,dersichinWortenEurerErwählten,EurerFreundeundBrüderkundtut,derharteWillezudemEuerHerzdengleichenTakthämmert,dennesistdieerfüllteZeit,daniemandmehralleinstehenwill,nichtmehralleinstehenkann,daeinerzumanderndrängt,einerdemanderendient,einerdemanderenhilft,ausVerzweiflungundNötenhilft,ausHaderundVerhetzung,undwunderbarwiediesgroßeherz-undsinnregierendeGefühlzurEinigung,zurEinheitMenschensichtbaräußerlichschonbewegt. [...]"
"172","1907-08-31","Gesprochene Sprache","Kaiser Wilhelm II, Festmahl für die Provinz Westfalen, in: Johann Ernst (Hg.), Reden des Kaisers, München: Deutscher Taschenbuch-Verl. 1966 [31.08.1907], S. 120-122","__speaker__391 Im Schoße Ihrer Berge ruhen die Schätze , die , von fleißigen Händen der braven Bergleute gefördert , der Industrie Gelegenheit geben , sich zu betätigen , dieser Industrie - der Stolz unserer Nation - , wunderbar in ihrem Aufschwung , beneidet von aller Welt ."
